Follower FollowerCount
1	0
2	2
3	3
4	6
5	6
6	8
7	14
8	16
9	19
10	23
11	32
12	36
13	37
14	52
15	54
16	57
17	59
18	63
19	64
20	66
21	67
22	73
23	75
24	76
25	77
26	84
27	93
28	94
29	100
30	103
31	105
32	107
33	123
34	127
35	127
36	128
jwb 133
37	134
38	136
39	138
40	141
41	143
42	145
43	157
44	162
45	164
46	168
47	171
48	177
49	192
50	194
51	195
52	195
53	199
54	199
55	205
56	208
57	210
58	214
59	215
60	217
61	220
62	223
63	223
64	225
65	233
66	256
67	263
68	267
69	271
70	272
71	278
72	283
73	289
74	295
75	297
76	298
77	299
78	307
79	313
80	319
81	330
82	337
83	341
84	349
85	365
86	371
87	376
88	386
89	393
90	399
91	401
92	412
93	425
94	435
95	446
96	462
97	468
98	483
99	489
100	498
101	506
102	507
103	516
104	527
105	534
106	543
107	558
108	574
109	588
110	601
111	623
112	629
113	648
114	661
115	663
116	731
117	732
118	750
119	754
120	808
121	833
122	928
123	1014
124	1200
125	1483
126	1552
127	1836
128	1836
129	2282
130	3020
131	7891
132	13200
133	15663
