Age_of_URI
0
0
0
0
151
622
0
0
0
0
0
2
0
0
0
0
0
0
0
0
0
4
0
0
5
7
161
0
0
8
0
0
0
0
0
0
0
0
0
9
0
0
0
3
0
0
0
0
0
0
0
0
0
11
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
11
13
0
0
0
2794
0
0
0
0
0
0
16
-4857
0
0
16
18
18
0
0
0
18
0
9
9
0
0
1448
0
0
0
0
0
0
0
0
0
0
0
0
986
0
0
24
0
22
22
22
-1516
0
0
0
20
0
0
0
1011
0
27
29
0
0
29
0
0
0
0
0
26
0
30
25
23
0
0
27
0
2794
30
30
25
25
32
2794
0
18
0
0
0
32
33
0
0
32
0
0
33
0
0
0
0
33
0
30
0
16
508
0
161
0
37
13
0
0
0
0
0
38
38
38
9
24
0
0
0
38
37
0
0
-1516
39
43
0
39
0
0
40
0
0
39
0
0
0
38
2794
0
0
9
44
44
43
43
44
107
43
0
45
0
45
46
29
43
0
0
0
45
40
40
46
47
0
0
0
37
47
0
0
0
0
0
47
47
-1516
53
53
53
986
0
52
0
0
23
53
50
0
0
0
22
22
53
54
57
36
0
0
64
23
0
56
55
55
0
0
57
0
0
0
0
0
58
0
11
24
24
0
-2250
0
59
0
0
57
59
63
72
59
567
0
60
0
27
3
0
0
61
0
0
0
0
0
0
0
65
65
0
0
64
64
3936
0
64
328
24
0
21
64
25
64
38
64
0
0
60
60
66
0
37
0
66
66
66
0
0
458
107
9
67
0
0
0
0
0
0
0
448
0
399
0
62
68
63
63
986
986
986
0
71
67
0
37
73
0
0
63
0
73
63
40
0
0
0
0
0
73
1307
74
74
0
0
38
75
4344
0
0
986
0
0
157
80
83
0
0
80
79
79
87
48
80
80
0
0
48
0
0
0
0
82
48
48
86
0
85
1226
48
84
0
85
0
0
0
86
79
79
1373
88
88
0
88
0
161
88
87
78
78
87
0
0
88
82
0
0
0
622
0
