34638	-34
14743	659
56834	2037
14710	286
78662	9858
35508	-20
650	0
33765	-33154
10314	25258
109904	-99526
8981	113778
87382	-82351
78161	-69180
16096	19358
33545	54115
78407	-42897
17251	-1248
8499	26938
78312	9867
68429	-50487
4718	11018
3946	84207
68117	9406
78423	-73754
78888	-74942
34827	42306
4982	83240
924	87803
752	35504
33732	-28750
10419	-9495
22442	-21690
24784	9402
33390	-22720
17915	4937
925	23609
78535	-43087
5027	-4102
109903	-21614
4606	421
1606	3000
10768	-9162
16579	-5654
87490	-64061
41992	-1298
34287	19421
32657	-744
275074	20082
78369	9779
111186	-35233
298674	-291800
6943	-6410
106477	-96722
69980	-47816
533	45058
8658	1373
21699	-21117
49179	262098
111716	-109823
99860	-83379
10022	271439
582	20962
310928	-306259
1360	6311
16654	20542
103175	-38886
109295	-102322
295703	-218792
21541	7687
4718	72193
87115	-59932
7778	-10
35405	38563
52518	4488
6262	71015
37981	49068
39799	-13532
37981	-11714
26200	67
7772	22987
71403	-70838
57661	18334
68111	-58067
89918	-62095
31481	-28436
17855	64107
28877	-19021
67553	-50158
28877	498537
28988	6493
109012	-108195
111228	-96588
18004	-17187
8882	-7997
3276	1654
59982	-59439
9856	-9039
17870	2476
523296	-481207
33545	22859
817	24000
14291	26707
87184	-49667
817	25190
885	-68
5373	-1146
103278	191397
543	11030
817	-637
42510	324621
84165	3867
46763	266503
13192	21129
42704	-10710
87404	746
35913	25368
26116	62657
817	235086
4158	-3341
172250	-83749
11335	-2327
180	381
99247	-82326
78235	-42788
260588	-172505
68496	-33836
33855	54547
29699	-16883
78359	-65352
106873	-89546
68373	-55317
33539	-31959
231088	-221231
817	5122
78691	-62159
9316	3085
350777	-330091
78751	-78611
17396	12432
120534	-32418
18019	-17360
78220	-2121
35464	-10393
78553	-52286
12471	75147
13004	-12275
4181	43821
109452	91263
75740	-75574
12618	22891
1580	86054
9460	16632
5939	49217
25505	8126
16312	15028
12070	95
21735	86616
140	171989
30372	-22664
78296	-73510
86261	2580
49674	-19120
24929	18662
28877	58801
78056	-51223
729	76827
47544	-12072
117004	-81607
107712	-68459
162516	-139642
86878	-76040
166	26958
33852	32870
77999	-663
114516	-97806
25045	-14069
40036	-39219
33072	-32611
29804	-22035
12167	11309
161620	-119432
4785	446724
79117	-75207
28841	-18960
38396	-37891
77963	-59073
26907	-20445
68588	10717
33755	11262
33579	43618
39998	80870
22921	12498
10758	24707
27080	11033
66486	21643
18020	-693
68121	-56983
111746	-66823
86097	-77872
17217	11154
11128	12097
817	-352
66402	50703
7773	-7165
23139	1824
42228	-6433
393128	-368009
3914	-3887
9140	149757
505	25
15118	-4249
99025	-63546
6397	82026
78952	-16547
52588	-52125
68049	-67880
108787	12160
68328	6994
33708	-22273
38212	-29571
17905	8362
76747	-76492
78294	-77477
4181	514824
11026	-10209
117079	84261
8182	69149
28289	-27472
21182	-20667
121339	-121199
117105	-110172
70678	-59640
608	33956
26013	61885
35383	-15927
26358	-17907
27	9
143980	-94173
111118	-103392
530	87817
10872	14523
33513	68273
88907	-83988
78539	-47625
43307	-26788
463	167
169	5669
108565	-32658
79864	6079
11435	135543
8586	-6669
28877	6515
255	33804
817	-324
518089	-430271
817	-294
200396	-112206
68115	-62314
817	34613
75514	-73172
157655	-122144
140	66035
6933	41633
110573	-110201
10962	24357
34124	1414
78327	6431
18879	81729
10009	103337
49539	-32186
7837	8116
78506	-63317
26634	10722
79786	-79191
4919	6666
30284	47138
107936	-93611
16692	60518
630	75361
92192	-60714
5361	14985
111124	-110307
58008	-50206
147530	-59544
1915	-1240
33586	344229
34059	54454
85934	-34138
493	87288
77993	-58620
523	87662
78494	-47128
87129	11506
5820	53909
78500	-51715
2342	16226
33763	87186
74649	-66448
48170	113982
109681	-66277
34328	862
372	60898
35257	-18735
111651	-49229
33782	43382
72896	-65456
22734	-17595
90243	-67592
91175	274489
100660	-75217
17828	-14765
16046	-13270
111018	-99067
13934	11042
35374	41851
595	86999
13059	22490
4222	33546
68211	-51791
108995	-107879
13276	95033
67911	-50520
111224	-109361
31666	56528
96097	-85605
35370	18766
817	4382
7802	4228
112936	-112564
78158	-42684
675	47075
78664	-72166
50803	-49811
77988	-77928
18796	4096
107702	-19942
78211	-77738
31258	47729
27585	32566
87651	-87489
59984	-56958
67326	-31548
25377	1293
67268	-50866
17957	4625
69474	28226
97070	-45366
41293	36780
35861	-35489
68362	7502
109585	-34936
16695	-16062
56049	-37117
107345	-94056
68056	-66353
14963	60943
4880	96820
107822	-40437
22495	-15695
348680	-119692
26264	-13690
76109	30942
104192	-31460
3063	85110
3269	158883
11928	14754
26042	23971
68012	-24633
14636	-1397
77994	-40480
83181	-82364
33761	-26986
33768	-32951
1116	22800
17987	-9941
31144	-27989
17866	-17641
1864	-1413
78414	-73742
107893	-19843
10376	66836
31724	-23300
5199	14973
10716	4562
